,Akuapem Twi
522,Mmeawa no redi agoru wɔ mpoano.
523,"Ntade kɔkɔɔ anaa bruu no, nea ɛwɔ he na wopɛ paa?"
524,Eye sɛ yewu wɔ yɛn nan so sen sɛ yɛbɛtra yɛn nkotodwe so.
525,Mintumi nka nkyerɛ wo da.
526,So wobɛhwɛ wo ho yiye?
527,Eyɛ.
528,Nnipa pii ahiade boro nnipa kakraa bi ahiade so.
529,"Sɛ wopɛ oo, wompɛ oo, ɛsɛ sɛ woyɛ."
530,M'ani gye ho sɛ mɛkɔ sini.
531,"Sɛ yɛde yɛn haw toto Kwasi de no ho a, ɛnyɛ hwee."
532,Mempɛ sɛ mehweree Abena.
533,Anigye a Kwasi wɔ no ka koma.
534,"Sɛ wo bo fuw a, woyɛ basaa."
535,Wo nso woka ho bi.
536,So wopɛ sɛ wunya biribi di?
537,So wɔne wo te?
538,Ɔde ne ho hintaw kar tuntum no akyi.
539,Yennim nea ɛrekɔ so.
540,Kuw no mu biara anni agoru no yiye.
541,Misusuw sɛ odii beysterfo bɛyɛ 10.
542,"Dodow a me mfe rekɔ anim no, dodow no ara na mekae nneɛma a amma saa da."
543,Kwasi gye me di.
544,Ɛyɛ adwuma.
545,Kwasi gyaw anidaso a ɛne sɛ ɔbɛyɛ oduruyɛfo no hɔ.
546,Ɔbea panyin no fii bɔs no mu hwee fam.
547,So na wunni adagyew nnɛ?
548,Ná ɛnyɛ m'adwene ne no.
549,"Nokwarem no, mempɛ w'asɛm."
550,Wɔwɔ biribiara so tumi.
551,"Sɛ wopɛ a, bɔ dɔn no."
552,Kwasi ka kyerɛɛ me sɛ memfa biribiara a wopɛ mma wo.
553,Mma w'ani nnyɛ wo totɔtotɔ.
554,Me werɛ fii nea na mɛka no.
555,Ɔwɔ mma baanan a ɛsɛ sɛ ɔhwɛ wɔn.
556,Ɛyɛ ade a mempɛ sɛ miwu nnɛ.
557,Mɛsan aba nnansa yi ara.
558,Wabɔ dam koraa.
559,Ɔwaree no bere a na wadi mfe 20.
560,Ná yehyiam Fida biara.
561,Ná Abena yɛ obi a onim akenkan ne akyerɛw yiye.
562,Ɛyɛ den sɛ wubenya kar no anɔpa a wim ayɛ nwini.
563,Nokwasɛm biara nni nea ɔka no mu.
564,Ɔyɛɛ saa a na ɔmpɛ.
565,Ná otumi ka Franse kasa.
566,Eyi yɛ tebea a emu yɛ den.
567,Ntɛm ara na ɔkenkan ne krataa no sen sɛnea na ɛsɛ sɛ ɔkenkan.
568,Nhyiam no kɔɔ so ara kosii 5
569,Ná minim yiye sɛ Kwasi bɛyɛ nea yebisae no.
570,Ɛho hia sɛ yɛboa yɛn.
571,Minni anansesɛm mu gyidi biara.
572,Wɔmaa ɔtwɛn boroo dɔnhwerew biako.
573,M'ani gye ho.
574,Wɔn fie no mmɛn keteke gyinabea no koraa.
575,Yesusuw nhyehyɛe a yɛyɛe sɛ yebedi ahohuru bere mu nnapɔnna no ho.
576,Ɔko no fii ase mfe abiɛsa akyi.
577,Nkonim bo no bɛkɔ osuani a ɔsen biara no nkyɛn.
578,"Afei nso, na ne ti nhwi ware, na na n'atade nso yɛ soro atade."
579,"Nanso, biribiara nni hɔ a Abena ka a ɛkyerɛ sɛ onnye nni."
580,Aguadi no dɔɔso.
581,Mempɛ sɛ mede ɔhaw biara ba bio.
582,Ebetumi aba saa.
583,So wo ne me bɛtra?
584,Ɛbɛyɛ nea nyansa nnim sɛ wobɛka sɛ yiw.
585,Tison kyerɛ sɛ ahum bi abɛn.
586,So na metumi atɔn pɛnsere?
587,Ná wanya abotare akosi ase.
588,Yebetumi atua dɔla 200.
589,Abarimaa yi de ɔhaw pii brɛ yɛn.
590,Mehwɛ kwan sɛ kwame bɛdu ha sɛseɛ.
591,"Awiei koraa no, nokwaredi so bɛba mfaso."
592,Mewɔ Portugal.
593,Mommma yɛn hwɛ sɛɛ Kwame ɔre mmba ha.
594,Ná m'ani gye wɔ apontow no ase anadwo a etwaam no.
595,Mɛyi ano nnansa ntam.
596,Ɛnsɛ sɛ ɛba saa.
597,Meyɛ kɛse ankasa.
598,Mibu no sɛ nkurɔfo di nokware.
599,Ɛbɛyɛ sɛ ɛno na enyaa wɔn gyinaesi no so nkɛntɛnso.
600,"Wɔ asram asia mu no, nneɛma bo akɔ soro bɛyɛ dɔla 50."
601,Ɔbarima no hweree ne kwan wɔ wuram.
602,Yɛbɔɔ baseball ɔsram biara.
603,Bere bɛn na ɔbɛba?
604,M'ani gye nnuaba ho.
605,Gyinae foforo bɛn na misii?
606,Wɔde asɛm no kɔdan adwumam panyin no.
607,Minim nea asi.
608,Minni wo mu ahotoso bio.
609,"Bere bi a atwam no, kwame bɛsaa Abena sɛɛ hena na wodɛ nfoni kyerɛɛ no."
610,Ná eyi ne nhoma a ɛyɛ anigye sen biara a wakenkan pɛn.
611,Minim no yiye.
612,"Bere a Abena pɛe sɛ ɔkɔ Boston no, na kwame nnim."
613,"Mesrɛ wo, ma me bi nnom."
614,"Sɛ osu tɔ mpo a, ɛsɛ sɛ mekɔ."
615,"Ne nti, na mitumi nya adwuma."
616,Obiara de kasa koro serew.
617,Bere a Abena fii fie hɔ bere tiaa bi akyi na Kwame nso fii fie.
618,"Ɛno ara dɔɔso nnɛ, na mabrɛ."
619,Mepɛ sɛ miwu mmom sen sɛ mehu sɛ woresu.
620,Ɔne me kyɛɛ n' nkwan no.
621,Ɛsɛ sɛ wode wo nnyinasosɛm bɔ wo bra.
622,Felicia pɛ TV hwɛ.
623,Nkurɔfo serew no.
624,"Misusuw ho bere tiaa bi mu no, na metaa ka nea esii no kyerɛ Abena."
625,Ɔde ne nsa too ne kotoku mu.
626,Merenyɛ saa nnɛ.
627,Nhyehyɛe a wɔde too gua Benada no hwehwɛ sɛ wotua tow dɔla ɔpepepem 54.
628,Nea ɔwɔ biribiara no betumi ahwere biribiara.
629,Metumi de biribi ama wo wɔ ɛyaw a wudi no ho.
630,"Afei de, Kwame ho adwiriw no."
631,Fa aduru a wɔde di dwuma ɔkwammɔne so.
632,Ɛbɛyɛ sɛ saa bere no na ɔwɔ fie.
633,Ɛhe na abodoo ne bobesa no wɔ?
634,Nea woayɛ no ho asodi da wo so.
635,Seesei minnim mfe dodow a Kwame adɛ.
636,Minhuu obiara a ɔte sɛ wo da.
637,Ɛtɔ mmere bi a ɛho nhia sɛ woka kasa koro ansa na woate mo ho mo ho ase.
638,"Ɛde besi nnɛ no, saa ɔhaw yi mmaa yɛn so da."
639,Ɔbɔ sanku yiye.
640,"Esiane afotu no nti, medawasɛ Kwame."
641,Yɛde mfe abiɛsa asua Engiresi kasa.
642,Seesei minni adagyew koraa.
643,Ɔmaa me ne telefon nɔma.
644,"Nea esii no nti,  Kwame ani nnye ho."
645,Ná ɛyɛ me sɛ ɛyɛ Kwame..
646,So ɔkaa nea efii sɔhwɛ no mu bae no ho asɛm?
647,Mepɛ sɛ migye m'ani.
648,"Afei nso, ɔyɛ obi a n'ani gye nneɛma ho paa."
649,M'apɔw so a na mete no haw me yiye.
650,So mɛkɔ so ayɛ?
651,Yɛaba dwoodwoo a hwee nyɛɛ yɛn.
652,Ɛhe na saa frankaa yi fi ba?
653,"Bere a ogya tɔɔ hɔ no, na wada."
654,Otumi ka Franse kasa yiye.
655,Tɔ pon no mu!
656,Na Kwame te benkyi bi so.
657,Yɛsrɛ sɛ twɛn kakra.
658,Ɔtee nka sɛ ɔredi asaw.
659,Mepɛ sɛ mekenkan Engiresi kasa mu nhoma dodow biara a metumi wɔ afe yi mu.
660,Woabɔ bɔɔl bere tenten bɛn?
661,Ɛma osu fi ase tɔ.
662,Yenni anidaso biara sɛ yebedi nkonim.
663,Nnwom yɛ kasa a nnipa nyinaa nim.
664,Yɛbɛsɛe biribiara.
665,M'ani gye nhwiren a wode brɛɛ me no ho.
666,N'asɛm no yɛ nea mfaso nni so.
667,Ɔtraa ase kenkanee krataa no.
668,"Mpɛn pii no, yɛnyɛ saa wɔ Spain."
669,Nhomasua atirimpɔw ne dɛn?
670,Kwame ne Abena de agoro.
671,Me nnamfo pii rekɔ hɔ anadwo yi.
672,So wudii paanoo no mu nkonim?
673,So wo werɛ fii sɛ wobɛyɛ wo sukuu dwumadi ahorow?
674,"Enti da biara da, ɔde ne mma kɔ sukuu kɔ adwuma."
675,Metee nka sɛ obi de me ato ne mmati so.
676,Kwame asɛm no yɛɛ nokware.
677,"United States ahenkurow, Washington anaa New York, no mu nea ɛwɔ he?"
678,Ebia aka akyi dodo.
679,"Sɛ me yere hyɛ me abufuw a, dɛn na ɛsɛ sɛ meyɛ?"
680,Merefi hɔ.
681,Mɛyɛ dɛn anya me kraman ma wadi ɔkraman aduan?
682,Kwame sɛ saa nhoma no wo mpa no ho.
683,Wususuw sɛ ne ho yɛ fɛ?
684,Wo ne me nnyɛ basaa.
685,Ɛnyɛ ade a ɛwɔ aduru bi a wɔde siw yare mmoawa ano ankasa.
686,Ɛte dɛn?
687,Sɛnea Abena daa ne ho adi no maa Kwame ho dwiriw no.
688,Dɛn na na ɔrehwehwɛ?
689,Mogya wɔ nsu no mu.
690,Asasewosow pii wɔ Japan.
691,Nnya adwene a ɛnteɛ.
692,"Mma ɛnhaw wo, merennyaw wo da."
693,Ɛsɛ sɛ mekyerɛ nsɛm no ase.
694,Saa mframa bɔne no kɔ soro paa.
695,Ɔde serew kɛse maa no.
696,"Bere tiaa bi akyi no, yɛn nsa kaa aduan no."
697,Dɛn na ɛma wususuw sɛ ɛnyɛ nokware?
698,Ɛnyɛ biribiara na yɛreyɛ.
699,Ɛsɛ sɛ Kwame na ɔre ye adwuma no.
700,Ɛkame ayɛ sɛ metaa guare da biara wɔ ahohuru bere mu.
701,"M'ani kyerɛ hɔ no, merekɔ akohyia wɔn a wɔwɔ hɔ seesei no."
702,Bɔ mmɔden ma w'ani nna hɔ.
703,Baabiara nni hɔ a ɛte sɛ fie.
704,"Sɛ mpaboa no yɛ foforo a, ɛyɛ den."
705,Ma yennidii anwummere yi.
706,"Afei de, na ɛsɛ sɛ ɔde n'atade yɛ adwuma yiye."
707,Minhu nea enti a ɔyɛ saa.
708,Ná ɛyɛ atuo bi a ano yɛ den yiye.
709,Egyee bere tenten ansa na meretumi ada.
710,"Wɔ afe 1952 mu no, ahum bi a wɔfrɛ no Salk yɛɛ aduru a wɔde siw mmubui ano."
711,"Bere a yɛrefi ɔdan a wɔde kar sisi so mu no, yɛn mu biara de n'ani kyerɛɛ hɔ."
712,Wɔde aduru a wɔde ka dan ho hyɛɛ agua no so.
713,"Japanfo asɛmfua ""tatoeba "" kyerɛ"" sɛ nhwɛso. """
714,Hena ne abeawa yi?
715,So wobɛkɔ Buronya apontow bi ase wɔ wo fie?
716,Osusuw ne ho bere nyinaa.
717,Yɛpɛ sɛ yɛkɔ Boston ne Chicago.
718,Nnipa pii ani gyee agoru no ho.
719,Yɛda ne papa ase sɛ ɔno ankasa na ɔwɔ ahɔhodan yi mu.
720,Bere bɛn na wubefi hɔ?
721,Mma wo bo mfuw.
722,"Bere a ɔtee awerɛhosɛm no, ne ho dwiriw no."
723,Asasewosow kɛse bi sii wɔ Tokyo.
724,Yetumi guare twaa asubɔnten no.
725,Ɔde ne agode nyinaa kamee me nuabea kumaa no.
726,Kwama ka nea esii no ho asɛm biara a ohui no kyeryɛ Abena.
727,Ná minhu nea menyɛ.
728,Minim sɛ wo na wubuu me kumfɔ wɔ Kwame wue ho.
729,Yɛ nea wopɛ biara.
730,Ɛyɛ ɔkwan pa a wubetumi afa so ayi adwennwen afi wo so.
731,Mintumi nkyerɛ wo.
732,Wuhuu nea meyɛe no?
733,Me nsa so.
734,Germany wɔ Europa mfinimfini.
735,"Esiane sɛ John ani nnye ho sɛ ɔne ne yere Abena bɛkɔ nti, na n'ani nnye ho."
736,Na Yacus wɔ Siria.
737,Yɛasɔre ntɛm.
738,Minnim.
739,Dɛn na wopɛ sɛ woyɛ wɔ anwummeduan ase?
740,Mede simma abien anaa abiɛsa bewie.
741,"Afei, Kwame pɛ sɛ  ɔkyere obiara sɛ asɛm biara nni ne ho."
742,Obiara anhu me wɔ ayaresabea da.
743,Begyaw me nkutoo anaa mɛma me ho adwo me.
744,Ná menyɛɛ m'adwene sɛ mɛyɛ adwuma wɔ saa adwumakuw yi mu bere tenteenten.
745,Ɛho nhia.
746,"Bere a Abena nantew kɔɔ dan no mu no, na n'ani so ada hɔ."
747,Kwame de ne fork no nnyanaa guu ɔpono noso.
748,Wɔhweree wɔn nkwa.
749,Wɔn a wɔhwɛ sini no ne me nyɛ adwene.
750,Yɛanu yɛn ho.
751,"Wiɛ, so wubetumi de me akɔ keteke gyinabea?"
752,"Sɛ wo ne yɛn bom didi a, anka w'ani begye kɛse."
753,Ná onni sukuu mu.
754,Wubetumi de me sakre no adi dwuma.
755,Dɛn na wayɛ nnɛ?
756,Ne ho akyere no.
757,Ɛyɛ anigye da.
758,Nnipa bɛyɛ apem na wobenya sika.
759,Dɛn ne rock nnwom a w'ani gye ho paa no?
760,"M'ani baa me ho so no, na meda fam."
761,Gyidihunu a ɛte saa no nni hɔ bio.
762,Ɛno ne ade a enye koraa!
763,"Mesrɛ wo, yi nkyene no."
764,Ɔyɛ odwumayɛni pa.
765,Woretie asɛm no.
766,Ɔwɔ ɛnne bi a ano yɛ den yiye.
767,Kwame kɔe Boston namfoa baako
768,M'ani begye ho sɛ mɛtra ase bio.
769,Wususuw sɛ aduan a wubedi no da biara ho hia?
770,"Saa mfonini yi nyɛ ɔno dea, ɛyɛ yɛn dea."
771,Onya akatua pa.
772,Ɔkaa asinasin a na abubu no boom.
773,Yɛn ani gyei ankasa.
774,Nea ɛwɔ he na meyɛ?
775,M'ani begye ho sɛ wobe mame Vodka ne tonic.
776,Mintumi nhu nea ɔkyerɛwfo no rebɔ mmɔden sɛ ɔbɛka.
777,"Anka metumi akum wo, nanso mankum wo."
778,Asubɔnten no mu dɔ yiye.
779,Mepɛ sɛ metra ha.
780,Mepɛ abusua.
781,Ná ɛyɛ anibiannaso sɛ wo werɛ befi wo sukuu dwumadi ahorow no.
782,Ɛnsɛ sɛ woma ɛhaw wo pii.
783,Mmofra nyinaa mpɛ aduaba.
784,Hyɛ wo ntade.
785,Na ɔsɔre gyaw yɛn nkɔmmɔbɔ no mfinimfini.
786,Seesei m'adamfo paa wɔ Rome.
787,Ehu kaa me.
788,Ade biako pɛ na ɛda yɛn anim.
789,So w'ani gye turo yi ho?
790,Minnya ntee saa asɛm no.
791,So na me ne wo rekasa?
792,Kwame ne Abena daa John ase.
793,Da biara wɔde aduaba si hɔ ma oduruyɛfo no.
794,So eyi kyerɛ nea misusuw sɛ ɛkyerɛ?
795,Misusuw sɛ ɛbɛyɛ papa sɛ wubedi aduan pa.
796,Ɛbɛyɛ papa sɛ yɛbɛyɛ saa.
797,Hann no dan kɔkɔɔ.
798,"Bere a wɔde no duu abansoro dan no atifi no, ne ho dwiriw no paa."
799,Watumi adu ne botae ahorow ho.
800,Kwame te agua no biako so.
801,Ɔde ne nsa hyɛɛ krataa no ase hwɛe sɛ ebia ne din wɔ mu anaa.
802,"Nnansa yi, adwuma mma ntɛm koraa."
803,Mɛyɛ nea metumi biara.
804,"Esiane sɛ na wɔn a wodi awu no de wɔn ho ahyɛ awudi no mu nti, wɔbɔɔ no sobo."
805,"Afe a edi hɔ no, m'ani begye paa."
806,Ma yɛnhwɛ nea esi.
807,Ná ɛsɛ sɛ wotwa Kwame nsa.
808,Eyi nyɛ serew.
809,"Wimhyɛn gyinabea no mu biara yɛ 1,000%."
810,Mihuu nhoma no wɔ saa nhoma no mu a na menhwɛ kwan.
811,Mma saa mmara nhoma yi mmfi wo nsa wɔ atamfo nsam.
812,Osua Franse kasa sɛnea ɛbɛyɛ a obetumi anya akatua pa.
813,Kɔ so tie.
814,Mete sɛ me maame.
815,Me maame nuabea no te nka sɛ osua.
816,Biribiara ansi.
817,Minsusuw sɛ obiara aka akyerɛ Kwame.
818,"Nea enti a yɛte ase ne sɛ, yɛn mu biara pɛ sɛ ohu nea enti a yɛte ase."
819,"Afei de, na ɔyɛ n'adwene sɛ ɔbɛma ne nsa akɔ n'ano."
820,Egyee no adapɛn pii ansa na ne ho retɔ no.
821,Ná woka obi ho?
822,Ɛno boa bere nyinaa.
823,"Afei nso, ɔyɛ obi a ɔpɛ sɛ ɔde Abena bɔne kyɛ no."
824,"Esiane sɛ yɛn ani nnye ho nti, yɛn ani nnye."
825,Ohia mmoa.
826,Wopɛ sɛ meyɛ biribi?
827,So worekɔ bi?
828,So eye ma wo sɛ wubedi berɛbo?
829,Eyi yɛ ntumi nyɛ yiye bere a Onyankopɔn mmoa nka ho no.
830,Ná migye di sɛ obedi ne bɔhyɛ so.
831,Waboa ahiafo ne nkwa nna nyinaa.
832,Ná anka ɛsɛ sɛ mebɔ mmɔden yi kuntu a anyinam ahoɔden wom yi fi me tirim ansa na matɔ.
833,Onyaa sika fii ne hɔ.
834,Ɛsɛ sɛ eyi ba awiei.
835,N'aniwa yɛ kɔkɔɔ.
836,Mepɛ sɛ me werɛ fi no.
837,"Mabrɛ, na mepɛ sɛ mekɔ fie."
838,Mehwɛ kwan sɛ yebehyia bio da bi.
839,Kwame yɛ nea obetumi biara.
840,Me ne no yɛ nnamfo paa.
841,Misii gyinae sɛ mɛka akyerɛ no sɛ medɔ no.
842,So na wunim sɛ wɔn mu binom te bepɔw yi so?
843,So wunim ɔkwan bi a wɔfa so tete akraman?
844,"Nokwarem no, nsɛm ho amanneɛbɔ Kwame Jackson nyɛ adwuma no so panyin."
845,Ɔyɛ yɔnko a n'asɛm yɛ mmɔbɔ.
846,Mayɛ biribiara a woka kyerɛɛ me no.
847,Mma aboa no kwan mma ɔnkɔ.
848,Ɔkɔm rekum yɛn.
849,Ɔbɛsan aba nnansa yi ara.
850,Egye obi na wahu emu biako.
851,"Efi saa bere no, minni adagyew koraa."
852,M'ani wɔ me ho so paa.
853,"Mebɔɔ mmɔden mprenu, nanso emu biara anyɛ yiye."
854,Ɔyɛ me babea a meso no dae.
855,Wɔyɛ mmofra pa.
856,ɔyarehwɛfo no bɛkyerɛ wo ɔkwan a wobɛfa so ayɛ saa.
857,Mmea ani gye ho saa.
858,M'ani gye nhoma akenkan ho.
859,Ɔwɔ suban pa ankasa.
860,"Nokwarem no, osu bɛtɔ."
861,Ɛsɛ sɛ yehu akokoaa foforo bi a wɔawo no foforo.
862,Ná ɛyɛ asɛm a ɛyɛ nokware.
863,Misua nnwom.
864,Ne nnamfo bu no.
865,Edin a obiara de frɛ wɔn ne osuahu.
866,Dɛn nti na yɛhwɛ kwan?
867,Mepɛ sɛ wuhyia me nuabea Abena.
868,Asase ase keteke kwan a ɛda asase ase no da akyiri pɛɛ.
869,Wosen me.
870,Mihui sɛ nnipa a wɔwɔ anigye ho yɛ na.
871,"Wɔka kyerɛɛ no sɛ ogyina hɔ, na ɔyɛɛ saa nkakrankakra."
872,Ɛsɛ sɛ wɔn ani gye.
873,Hwɛ sɛnea na ɛyɛ ahoɔden sɛe ade fa!
874,Mekɔda ntɛm.
875,Saa bɔs yi betumi afa nnipa aduonum.
876,Yefii hɔ 2:30.
877,"Ná ɔrebɔ adakabɛn, na na ɔto dwom."
878,Hena na ɔhwee ase?
879,Ná osusuw sɛ mabrɛ paa.
880,Ná wasi ne bo sɛ ɔne no nkasa bio.
881,Saa aberante no bɔ me dam.
882,So agumadi ahorow da so ara yɛ nea ntease nnim?
883,"Yɛsrɛ wo, di saa asɛm yi ho dwuma."
884,M'ani gye ho sɛ Kwame de me bɛkɔ fie.
885,So woate ne nka pɛn?
886,Wubetumi ato nnwom yiye bere foforo.
887,"Ɛnyɛ saa na ɛte, anaa ɛnte saa?"
888,Onipa bɛn na oyi ne kyɛw?
889,"Anadwo a etwaam no midii aduan, nanso m'adwene nyɛɛ me sɛ me papa na odii."
890,Dɛn nti na wufii Australia?
891,"Mesrɛ wo, wobɛkyerɛkyerɛ nea asɛmfua no kyerɛ ankasa mu akyerɛ me?"
892,Wɔsakraa ɔhene no ma ɔbɛyɛɛ senn.
893,So yɛbɛkɔ mprempren?
894,Onim saa kurow yi yiye.
895,Ma ɛntra w'adwenem sɛ sigaretnom nyɛ ade pa mma w'akwahosan.
896,Eyi ne ade a na mepɛ.
897,Yɛsrɛ wo nnom sigaret wɔ ha.
898,Eye sɛ medi ɔhaw no ho dwuma.
899,"Afei nso, na wɔde sekan a ano yɛ den a wɔde twe anyinam ahoɔden fi mu twitwa dua no mu."
900,Afei ɔde serew bi a ɛmfata maa Abena.
901,"Ade kyee awia no, na nnipa pii rekenkan nhoma bi."
902,"Yeduu ha no, yesii kurow foforo."
903,Mepɛ sɛ wuhu nokware no.
904,"Afei ɔde ne nsa too krataa no so, na ohui sɛ ɛyɛ krataa bi a wɔde nsa ahyɛ ase."
905,Mihuu no sɛ oguan.
906,Ɔsram no nenam asase so baabiara.
907,Ná yɛasiesie yɛn ho.
908,M'ani gye anwensɛm ntiantiaa ho.
909,Ade biako pɛ a ɛho hia Kwame no ye ne sika dodow a onya no.
910,Ɛsɛ sɛ yesiesie nhama no mu.
911,Meguare wɔ asubɔnten no mu ɔsram biara.
912,Ná ɔhyew no ano yɛ den yiye.
913,Mewɔ telefon wɔ me dan mu.
914,Ɔkwan bɛn so na wobɛkyerɛkyerɛ wo ne Onyankopɔn ntam abusuabɔ mu?
915,Wubetumi apira wo ho.
916,Kyerɛ obu bi ma afoforo adwenkyerɛ.
917,Adwumayɛfo no yɛɛ biako de dii ɔhaw no ho dwuma.
918,Kwame nsa sõ.
919,Ɛsɛ sɛ Appiah paw sɛ obedi no ni na wawu.
920,Dɛn nti na meresua ho ade?
921,Ɛyɛ dɛ.
922,Makenkan nhoma no dedaw.
923,Ɛsɛ sɛ wohyɛ me bɔ biako pɛ.
924,So wubetumi asan akɔsra no akyiri yi?
925,Ná meso dae bi fa wo anadwo a etwa to no ho.
926,Mɛsan akɔ sraa Asamoah  bio.
927,Ná wɔnte ɛnne biara wɔ dan no mu.
928,Mewɔ asɛmmɔne bi ma mo.
929,Appiah te mmubuafo akongua mu.
930,Ɛno mmoa.
931,Owui sɛ ɔbɛyɛ nea ɔpɛ.
932,Asɛm no maa n'ani gyei.
933,Bere bɛn na ɔyaree?
934,Na Appiah ɛ kaw mu
935,Na Appiah bisaa ne papa sɛ obetumi akɔ sini no anaa.
936,Eyi yɛ nhoma.
937,Saa ɔbarima no adamfo.
938,Wonsɛ ɔsɔfo.
939,Ɛyɛ anigye.
940,Ɛsɛ sɛ woba bɛsra me besi nnɛ.
941,Dɛn ne saa hua no?
942,Onni n'asɛm so da.
943,Ebetumi agyae.
944,Minnim nea ɛsɛ sɛ meyɛ de guare.
945,Ná wɔnom nsa ntoa abien.
946,Ná mente biribiara ase te sɛ nea Asamoah kae no.
947,So anyɛ yiye koraa no wubetumi ayɛ wo ho te sɛ nea wopɛ sɛ woba ha?
948,Yɛyɛɛ aso tiee no kakra.
949,So wunim baabi a Appiah ne Abena wɔ?
950,"Sɛ wopɛ sɛ wususuw ho a, dɛn na wopɛ paa sɛ woyɛ?"
951,Ɔman no de n'ani akyerɛ nifa so.
952,Nnipa kakraa bi pɛ na wɔwɔ kar abien.
953,Obiara amma.
954,Nkraman yɛ mmoa anokwafo.
955,Ɔyɛ wɔn ba koro pɛ.
956,"Sɛ meka sɛ dabi a, dɛn na ɛba?"
957,Merenhu no bio.
958,"Dapɛn a etwaam no, sotɔɔ foforo a wɔtɔn nneɛma wom no bɛn ɔdasum anadwo biara."
959,Dɛn nsɛm na  Appiah wɔka no?
960,Ɛhaw me kɔn.
961,Amazon yɛ asubɔnten a ɛto so abien a ɛware sen biara wɔ wiase wɔ Nil asubɔnten no akyi.
962,Misusuw sɛ yebetumi ayɛ ho biribi.
963,Minhu nea Appiah bɛka akyerɛ me.
964,Na Appiah etumi de nensa nantew
965,Nea wubetumi ayɛ ara ne sɛ wobɛtwɛn.
966,Seesei yɛte faako.
967,Dɛn na ɛbɛba me so?
968,Ɔyɛ dɛn kɔ sukuu?
969,M'ani gye ho sɛ mɛte asɛm a Appiah kae no.
970,Mewɔ ɔkyeredua.
971,Appiah ka kyerɛɛ Abena mpɛn pii sɛ ɔnte mfɛnsere no mu.
972,Bebisa wo nea enti a wopɛ sɛ woyɛ ɔkyerɛkyerɛfo.
973,Ná mepɛ sɛ mema wohu sɛ mewɔ da pɔtee bi kɛkɛ.
974,Minim sɛ maka eyi akyerɛ wo dedaw.
975,Ɛnyɛ mmerɛw sɛ wɔbɛkyerɛw krataa a ɛkyerɛ ɔdɔ wɔ Engiresi kasa mu.
976,Ɔbɛyɛ adwuma wɔ London nnɛ ɔkyena.
977,Ɔbarima no yii n'ankasa adwene fii so.
978,"Yɛn ahohuru bere no yɛ tiaa, nanso ɛyɛ anigye."
979,Yɛrentumi mma eyi mma.
980,Nea yɛreka yi nkyerɛ sɛ ɛsɛ sɛ woma w'abam bu.
981,Mehwɛɛ no dɔnhwerew biako.
982,Ne werɛ ahow.
983,Metee sɛ nnipa bi reto Buronya kar ahorow.
984,Efi ase wɔ afe ason mu.
985,Kwasida biara ɔbɔ bɔɔl.
986,"Dwoda a etwaam no, mihuu Appiah."
987,Franse kasa nyɛ me kurom kasa.
988,Ɛne dɛn?
989,Midiididii pii anadwo a etwa to koraa.
990,Ebetumi aba sɛ anigye nte sɛ nea ɔwɔ no.
991,Ɛsɛ sɛ wudi kan tua ka wɔ saa ahɔhodan no mu.
992,"Ɔdɔ no esiane sɛnea ɔte nti, ɛnyɛ nea ɔwɔ nti."
993,Mehweree saa agoru no.
994,Misusuw ho sɛ ebia waware anaa.
995,Ɛsɛ sɛ nkurɔfo te ase sɛ wiase no resesa.
996,"Appiah pɛ sɛ wutie Abena dwom a, susuw ho hwɛ."
997,Dɛn nti na woyɛ komm saa?
998,"Nanso, na ne babea no da ne nan ase."
999,Mexiconi bi kyerɛɛ no Spania kasa.
1000,Ná misusuw sɛ w'asɛm no yɛ anigye.
1001,Na Appiah nu nehɔ wɔ nia wɔye
1002,Wuyii keteke no!
1003,Wɔhyɛɛ Appiah ma ogyaee adwuma no.
1004,Katolekfo sɔre tia awo a wosiw no kwan.
1005,So sukyerɛmma tɔ kɛse wɔ awɔw bere mu?
1006,Ná ɛyɛ adwene a nnipa dodow no ara kura.
1007,So ɛyɛ ankorankoro de?
1008,"Me papa wui, na ogyaw sika kɛse bi hɔ."
1009,"Nni atoro bio, ɛnte saa?"
1010,"Sɛnea ɛte biara no, ɛsɛ sɛ wo ne wo yere susuw nsɛm ho yiye."
1011,Germany ne Japan dii nkogu.
1012,"Wubetumi akɔ apontow no ase, nanso ɛsɛ sɛ wokɔ fie ɔdasum."
1013,Yehu nea yɛhwɛ kwan sɛ yebehu.
1014,Yɛnyɛ basabasa.
1015,Wogyaee TV no hwɛ.
1016,Saa ara nso na obiara a ɔwɔ ne sukuu mu tumi guare ntɛm sen obi foforo biara.
1017,Ɔyɛ ɔbɔnefo a n'ani abere.
1018,Saa nhyehyɛe no bedi nkogu ɔkwan biara so.
1019,Saa pɛpɛɛpɛ na meyɛe.
1020,"Bere a ohuu akwantufo no sɛ wɔresi afi bɔs no mu no, ohui."
1021,Dɛn na worekyerɛw yi?
1022,Na saa sakre no nye Appiah dia.
1023,Mede nnɔnhwerew pii kenkan nhoma ahorow.
1024,"Sɛnea ɔbea no kyerɛ no, ɔyɛ ohufo."
1025,Ɔka kyerɛɛ me sɛ memfa no nkɔ mmoa yɛmmea hɔ.
1026,Hena na ɔka kyerɛɛ wo sɛ ka kyerɛ Appiah sɛ ɔmmra?
1027,Da a wɔde tua ka no yɛ da koro akatua.
1028,So woda so ara wɛn?
1029,Meyɛ adwuma wɔ sikakorabea.
